Sample rate: 9400 Hz
Time(s),Amplitude
9.356808510638296994e+00,1.540000000000000000e+02
9.356914893617021889e+00,1.520000000000000000e+02
9.357021276595745007e+00,1.500000000000000000e+02
9.357127659574468126e+00,1.490000000000000000e+02
9.357234042553191244e+00,1.460000000000000000e+02
9.357340425531914363e+00,1.430000000000000000e+02
9.357446808510637482e+00,1.420000000000000000e+02
9.357553191489362376e+00,1.390000000000000000e+02
9.357659574468085495e+00,1.350000000000000000e+02
9.357765957446808613e+00,1.310000000000000000e+02
9.357872340425531732e+00,1.270000000000000000e+02
9.357978723404254850e+00,1.230000000000000000e+02
9.358085106382977969e+00,1.280000000000000000e+02
9.358191489361702864e+00,1.320000000000000000e+02
9.358297872340425982e+00,1.260000000000000000e+02
9.358404255319149101e+00,1.280000000000000000e+02
9.358510638297872219e+00,1.240000000000000000e+02
9.358617021276595338e+00,1.230000000000000000e+02
9.358723404255318457e+00,1.290000000000000000e+02
9.358829787234043351e+00,1.310000000000000000e+02
9.358936170212766470e+00,1.240000000000000000e+02
9.359042553191489588e+00,1.180000000000000000e+02
9.359148936170212707e+00,1.150000000000000000e+02
9.359255319148935826e+00,1.160000000000000000e+02
9.359361702127658944e+00,1.150000000000000000e+02
9.359468085106383839e+00,1.190000000000000000e+02
9.359574468085106957e+00,1.210000000000000000e+02
9.359680851063830076e+00,1.230000000000000000e+02
9.359787234042553195e+00,1.240000000000000000e+02
9.359893617021276313e+00,1.270000000000000000e+02
9.359999999999999432e+00,1.250000000000000000e+02
9.360106382978722550e+00,1.280000000000000000e+02
9.360212765957447445e+00,1.310000000000000000e+02
9.360319148936170564e+00,1.270000000000000000e+02
9.360425531914893682e+00,1.210000000000000000e+02
9.360531914893616801e+00,1.170000000000000000e+02
9.360638297872339919e+00,1.150000000000000000e+02
9.360744680851063038e+00,1.100000000000000000e+02
9.360851063829787932e+00,1.070000000000000000e+02
9.360957446808511051e+00,1.000000000000000000e+02
9.361063829787234170e+00,9.100000000000000000e+01
9.361170212765957288e+00,9.000000000000000000e+01
9.361276595744680407e+00,9.000000000000000000e+01
9.361382978723403525e+00,9.000000000000000000e+01
9.361489361702128420e+00,9.100000000000000000e+01
9.361595744680851539e+00,9.400000000000000000e+01
9.361702127659574657e+00,9.800000000000000000e+01
9.361808510638297776e+00,1.020000000000000000e+02
9.361914893617020894e+00,1.050000000000000000e+02
9.362021276595744013e+00,1.060000000000000000e+02
9.362127659574468908e+00,1.080000000000000000e+02
9.362234042553192026e+00,1.060000000000000000e+02
9.362340425531915145e+00,1.040000000000000000e+02
9.362446808510638263e+00,1.040000000000000000e+02
9.362553191489361382e+00,1.100000000000000000e+02
9.362659574468084500e+00,1.110000000000000000e+02
9.362765957446809395e+00,1.100000000000000000e+02
9.362872340425532514e+00,1.060000000000000000e+02
9.362978723404255632e+00,9.900000000000000000e+01
9.363085106382978751e+00,1.000000000000000000e+02
9.363191489361701869e+00,1.030000000000000000e+02
9.363297872340424988e+00,1.050000000000000000e+02
9.363404255319148106e+00,1.000000000000000000e+02
9.363510638297873001e+00,9.900000000000000000e+01
9.363617021276596120e+00,9.800000000000000000e+01
9.363723404255319238e+00,9.900000000000000000e+01
9.363829787234042357e+00,1.010000000000000000e+02
9.363936170212765475e+00,1.070000000000000000e+02
9.364042553191488594e+00,1.070000000000000000e+02
9.364148936170213489e+00,1.050000000000000000e+02
9.364255319148936607e+00,1.060000000000000000e+02
9.364361702127659726e+00,1.080000000000000000e+02
9.364468085106382844e+00,1.110000000000000000e+02
9.364574468085105963e+00,1.160000000000000000e+02
9.364680851063829081e+00,1.190000000000000000e+02
9.364787234042553976e+00,1.180000000000000000e+02
9.364893617021277095e+00,1.210000000000000000e+02
9.365000000000000213e+00,1.270000000000000000e+02
9.365106382978723332e+00,1.280000000000000000e+02
9.365212765957446450e+00,1.280000000000000000e+02
9.365319148936169569e+00,1.300000000000000000e+02
9.365425531914894464e+00,1.240000000000000000e+02
9.365531914893617582e+00,1.200000000000000000e+02
9.365638297872340701e+00,1.200000000000000000e+02
9.365744680851063819e+00,1.220000000000000000e+02
9.365851063829786938e+00,1.250000000000000000e+02
9.365957446808510056e+00,1.250000000000000000e+02
9.366063829787233175e+00,1.220000000000000000e+02
9.366170212765958070e+00,1.210000000000000000e+02
9.366276595744681188e+00,1.200000000000000000e+02
9.366382978723404307e+00,1.170000000000000000e+02
9.366489361702127425e+00,1.140000000000000000e+02
9.366595744680850544e+00,1.160000000000000000e+02
9.366702127659573662e+00,1.150000000000000000e+02
9.366808510638298557e+00,1.150000000000000000e+02
9.366914893617021676e+00,1.210000000000000000e+02
9.367021276595744794e+00,1.240000000000000000e+02
9.367127659574467913e+00,1.190000000000000000e+02
9.367234042553191031e+00,1.200000000000000000e+02
9.367340425531914150e+00,1.170000000000000000e+02
9.367446808510639045e+00,1.140000000000000000e+02
9.367553191489362163e+00,1.130000000000000000e+02
9.367659574468085282e+00,1.160000000000000000e+02
9.367765957446808400e+00,1.170000000000000000e+02
9.367872340425531519e+00,1.160000000000000000e+02
9.367978723404254637e+00,1.150000000000000000e+02
9.368085106382979532e+00,1.130000000000000000e+02
9.368191489361702651e+00,1.100000000000000000e+02
9.368297872340425769e+00,1.120000000000000000e+02
9.368404255319148888e+00,1.150000000000000000e+02
9.368510638297872006e+00,1.140000000000000000e+02
9.368617021276595125e+00,1.110000000000000000e+02
9.368723404255320020e+00,1.140000000000000000e+02
9.368829787234043138e+00,1.160000000000000000e+02
9.368936170212766257e+00,1.210000000000000000e+02
9.369042553191489375e+00,1.270000000000000000e+02
9.369148936170212494e+00,1.280000000000000000e+02
9.369255319148935612e+00,1.270000000000000000e+02
9.369361702127658731e+00,1.290000000000000000e+02
9.369468085106383626e+00,1.280000000000000000e+02
9.369574468085106744e+00,1.240000000000000000e+02
9.369680851063829863e+00,1.230000000000000000e+02
9.369787234042552981e+00,1.180000000000000000e+02
9.369893617021276100e+00,1.100000000000000000e+02
9.369999999999999218e+00,1.060000000000000000e+02
9.370106382978724113e+00,1.020000000000000000e+02
9.370212765957447232e+00,9.900000000000000000e+01
9.370319148936170350e+00,1.000000000000000000e+02
9.370425531914893469e+00,1.020000000000000000e+02
9.370531914893616587e+00,1.030000000000000000e+02
9.370638297872339706e+00,1.060000000000000000e+02
9.370744680851064601e+00,1.120000000000000000e+02
9.370851063829787719e+00,1.130000000000000000e+02
9.370957446808510838e+00,1.170000000000000000e+02
9.371063829787233956e+00,1.200000000000000000e+02
9.371170212765957075e+00,1.220000000000000000e+02
9.371276595744680193e+00,1.270000000000000000e+02
9.371382978723405088e+00,1.330000000000000000e+02
9.371489361702128207e+00,1.310000000000000000e+02
9.371595744680851325e+00,1.270000000000000000e+02
9.371702127659574444e+00,1.250000000000000000e+02
9.371808510638297562e+00,1.170000000000000000e+02
9.371914893617020681e+00,1.140000000000000000e+02
9.372021276595743799e+00,1.110000000000000000e+02
9.372127659574468694e+00,1.080000000000000000e+02
9.372234042553191813e+00,1.000000000000000000e+02
9.372340425531914931e+00,9.600000000000000000e+01
9.372446808510638050e+00,9.700000000000000000e+01
9.372553191489361168e+00,9.700000000000000000e+01
9.372659574468084287e+00,9.900000000000000000e+01
9.372765957446809182e+00,1.040000000000000000e+02
9.372872340425532300e+00,1.060000000000000000e+02
9.372978723404255419e+00,1.070000000000000000e+02
9.373085106382978537e+00,1.110000000000000000e+02
9.373191489361701656e+00,1.120000000000000000e+02
9.373297872340424775e+00,1.150000000000000000e+02
9.373404255319149669e+00,1.230000000000000000e+02
9.373510638297872788e+00,1.300000000000000000e+02
9.373617021276595906e+00,1.340000000000000000e+02
9.373723404255319025e+00,1.370000000000000000e+02
9.373829787234042143e+00,1.410000000000000000e+02
9.373936170212765262e+00,1.420000000000000000e+02
9.374042553191490157e+00,1.460000000000000000e+02
9.374148936170213275e+00,1.480000000000000000e+02
9.374255319148936394e+00,1.440000000000000000e+02
9.374361702127659512e+00,1.400000000000000000e+02
9.374468085106382631e+00,1.400000000000000000e+02
9.374574468085105750e+00,1.380000000000000000e+02
9.374680851063830644e+00,1.380000000000000000e+02
9.374787234042553763e+00,1.410000000000000000e+02
9.374893617021276881e+00,1.410000000000000000e+02
9.375000000000000000e+00,1.430000000000000000e+02
9.375106382978723119e+00,1.450000000000000000e+02
9.375212765957446237e+00,1.440000000000000000e+02
9.375319148936169356e+00,1.410000000000000000e+02
9.375425531914894250e+00,1.400000000000000000e+02
9.375531914893617369e+00,1.360000000000000000e+02
9.375638297872340488e+00,1.320000000000000000e+02
9.375744680851063606e+00,1.360000000000000000e+02
9.375851063829786725e+00,1.340000000000000000e+02
9.375957446808509843e+00,1.300000000000000000e+02
9.376063829787234738e+00,1.270000000000000000e+02
9.376170212765957857e+00,1.190000000000000000e+02
9.376276595744680975e+00,1.140000000000000000e+02
9.376382978723404094e+00,1.130000000000000000e+02
9.376489361702127212e+00,1.100000000000000000e+02
9.376595744680850331e+00,1.040000000000000000e+02
9.376702127659575225e+00,1.030000000000000000e+02
